benchmark,num_frames,mean_similarity,min_similarity,max_similarity,std_similarity,mean_drift,max_drift
isvlsi_sat_bms/ILA_Piccolo_LHU_problem,50,0.8841021013319789,0.12083596111298775,0.9995498929841451,0.1848966096024673,4.801849586897897,52.69299988847484
isvlsi_sat_bms/Problem101_label01,10,0.22552260862547005,-0.3998667141903635,0.8694083891188106,0.48084100710217004,18.352186826929678,39.136712193690705
isvlsi_sat_bms/Problem13_label23,6,0.02717528240384872,-0.6426918101464042,0.754883645648831,0.5907940157092965,18.844546430804243,35.78572954918115
isvlsi_sat_bms/arbitrated_top_n2_w32_d32_e0,50,0.8565428811100256,-0.19181833409532711,0.9996514030038834,0.24516880462752236,5.4519833828915365,44.54208144662343
isvlsi_sat_bms/arbitrated_top_n4_w8_d32_e0,50,0.8988107113339189,0.24762673414425912,0.9990873616734179,0.17416454185806385,4.783705218275017,55.234971859805064
isvlsi_sat_bms/pals_lcr.5.1.ufo.UNBOUNDED.pals+Problem12_label04,9,0.12907849319493306,-0.3182300811113228,0.49190042247185833,0.3487633798179347,20.603433844771597,37.114712724096734
isvlsi_sat_bms/rocket_1761,33,0.6453730500895376,-0.19749987441555417,0.9996497869966292,0.38029906996259855,12.484835212615305,69.34846645509496
isvlsi_sat_bms/rocket_2045,32,0.6585505904497411,-0.0967906147663796,0.999950531463287,0.3914887761242372,11.17369881804617,80.05237126226682
isvlsi_sat_bms/rocket_5541,33,0.5847685107804015,-0.1786207406126999,0.9997868694818086,0.3948369055705394,14.210737140972324,73.42789209193694
isvlsi_sat_bms/yosyshq_appnote_123_cv32e40x-p104,50,0.8523815990491088,-0.154514002092805,0.9994802165237329,0.2453018583860208,6.15888531351934,62.310788791101196
isvlsi_sat_bms/yosyshq_appnote_123_veer-p08,50,0.7470483379962076,-0.1395698800863687,0.9999747937429487,0.31510910698393724,8.086307428050116,47.735082475182054
isvlsi_sat_bms/yosyshq_appnote_123_veer_axi-p62,50,0.6947736661980755,-0.23056486391581252,0.9999570194308213,0.34667150361372706,8.685662726797021,47.49819428890607
isvlsi_undet_bms/Problem02_label10,50,0.9234926383326917,-0.10739142080833135,0.9993029718274196,0.2377443407683632,4.280144782408591,116.28334232039477
isvlsi_undet_bms/bin-suffix-5,50,0.8015424685974969,-0.12205179037556502,0.9991712734213365,0.18780021277896583,5.603946081131112,130.46338361986727
isvlsi_undet_bms/counter_bit_width_large,50,0.8993645586721798,-0.3906339215907572,0.9994284801490438,0.23184093781919574,5.139087841956334,53.62865360939666
isvlsi_undet_bms/fib_30,50,0.9085300660930942,0.1855738476017929,0.999041610567164,0.15505822589296664,4.625561735355004,84.68912805915103
isvlsi_undet_bms/kalman_bit_width_small,50,0.9166658798661671,-0.489163876280232,0.9994061951069776,0.25476164748178304,4.2869221211658415,84.05563212484886
isvlsi_undet_bms/minepump_spec3_product45.cil,50,0.8500926636447996,0.29365698183586886,0.9991933161898665,0.17903009432020675,5.556334480210588,82.78362935998666
isvlsi_undet_bms/qspiflash_dualflexpress_divthree-p132,50,0.9209876416354063,-0.29022857927231605,0.9990692935302579,0.19447072915876937,4.376129462786989,50.263895801988795
isvlsi_undet_bms/qspiflash_qflexpress_divfive-p025,50,0.92554276728181,-0.06510517973226676,0.9993658049525698,0.18013821636794905,4.407840773075506,58.40347874006532
isvlsi_undet_bms/qspiflash_qflexpress_divfive-p131,50,0.9265608165861989,0.29590810057949535,0.9995035253614626,0.15090487013900974,4.326957731062628,54.90507219082268
isvlsi_undet_bms/simple_vardep_1,50,0.927671411755858,-0.4415564763702874,0.9996587810806492,0.26632726402140716,3.816861720280245,115.50528992930533
isvlsi_undet_bms/stack-p2,50,0.9029656509903753,-0.06185329322709102,0.9986681842999057,0.16549546542289326,4.953194184886145,130.06492162597183
