frame,vars,clauses,literals
1,13855,37701,
2,28747,101831,
3,44821,171731,
4,61415,243752,
5,78051,316004,
6,94776,388262,
7,111518,460947,
8,128209,533571,
9,145025,606296,
10,161764,678843,
11,178505,751544,
12,195290,824193,
13,212033,896891,
14,228797,969627,
15,245543,1042332,
16,262265,1114997,
17,279013,1187708,
18,295753,1260404,
19,312491,1333099,
20,329240,1405810,
21,345986,1478510,
22,362728,1551209,
23,379462,1623896,
24,396208,1696600,
25,412951,1769301,
26,429694,1842000,
27,446436,1914696,
28,463179,1987396,
29,479920,2060090,
30,496669,2132800,
31,513411,2205497,
32,530172,2278222,
33,546900,2350892,
34,563650,2423598,
35,580389,2496288,
36,597136,2568991,
37,613883,2641690,
38,630634,2714406,
39,647372,2787089,
40,664114,2859783,
41,680861,2932487,
42,697612,3005198,
43,714351,3077883,
44,731098,3150583,
45,747836,3223273,
46,764589,3295982,
47,781326,3368671,
48,798083,3441396,
49,814819,3514074,
50,831571,3586783,
