frame,vars,clauses,literals
1,1545,3056,
2,3104,11802,
3,5428,22235,
4,7740,32657,
5,10056,43007,
6,12383,53391,
7,14713,63805,
8,17043,74219,
9,19373,84633,
10,21703,95047,
11,24033,105461,
12,26358,115873,
13,28688,126287,
14,31018,136703,
15,33348,147119,
16,35678,157535,
17,38008,167951,
18,40338,178367,
19,42668,188783,
20,44998,199199,
21,47328,209615,
22,49658,220031,
23,51988,230447,
24,54318,240863,
25,56648,251279,
26,58978,261695,
27,61308,272111,
28,63638,282527,
29,65968,292943,
30,68298,303359,
31,70628,313775,
32,72958,324191,
33,75288,334607,
34,77618,345023,
35,79948,355439,
36,82278,365855,
37,84608,376271,
38,86938,386687,
39,89268,397103,
40,91598,407519,
41,93928,417935,
42,96258,428351,
43,98588,438767,
44,100918,449183,
45,103248,459599,
46,105578,470015,
47,107908,480431,
48,110238,490847,
49,112568,501263,
50,114898,511679,
