frame,vars,clauses,literals
1,77576,77577,
2,80992,81055,
3,86544,95689,
4,106301,188931,
5,151336,485250,
6,238470,980672,
7,350047,1527670,
8,461860,2076001,
9,573952,2624902,
10,686114,3173907,
11,798294,3723066,
12,910435,4272101,
13,1022572,4821073,
14,1134727,5370164,
15,1246935,5919414,
16,1358989,6468225,
17,1471076,7017104,
18,1583180,7566079,
19,1695288,8115041,
20,1807389,8664096,
21,1919507,9213044,
22,2031627,9762035,
23,2143751,10311006,
24,2255873,10860011,
25,2368001,11408993,
26,2480123,11957989,
27,2592238,12506939,
28,2704367,13055953,
29,2816491,13604931,
30,2928615,14153928,
31,3040736,14702890,
32,3152857,15162075,52947124.0
