frame,vars,clauses,literals
1,29963,30042,
2,47695,49588,
3,69321,85380,
4,97961,160634,
5,129189,257075,
6,160155,359444,
7,194289,469363,
8,229944,599769,
9,267707,727128,
10,305411,856286,
11,343160,985626,
12,380903,1114890,
13,418647,1244169,
14,456389,1373437,
15,494129,1502698,
16,531872,1631967,
17,569614,1761234,
18,607353,1890499,
19,644832,2019495,
20,682320,2148511,
21,719554,2277269,
22,756788,2406029,
23,794022,2534784,
24,831256,2663541,
25,868489,2792297,
26,905724,2921059,
27,942958,3049814,
28,980191,3178572,
29,1017426,3307330,
30,1054660,3436086,
31,1091896,3564844,
32,1129129,3693596,
33,1166362,3822348,
34,1203618,3951183,
35,1240851,4079935,
36,1278082,4208683,
37,1315317,4337439,
38,1352550,4466191,
39,1389783,4594943,
40,1427016,4723695,
41,1464248,4852446,
42,1501480,4981195,
43,1538715,5109951,
44,1575948,5238703,
45,1613181,5367455,
46,1650414,5496207,
47,1687647,5624959,
48,1724880,5753711,
49,1762113,5882463,
50,1799346,6011215,
