frame,vars,clauses,literals
1,33389,34317,
2,38797,45357,
3,50409,90456,
4,83883,249331,
5,128759,484493,
6,179961,759931,
7,235070,1061080,
8,290970,1368109,
9,346850,1675800,
10,403485,1988245,
11,460534,2303215,
12,517703,2619566,
13,574924,2936220,
14,632094,3252956,
15,689296,3569634,
16,746543,3886363,
17,803752,4203064,
18,860958,4519769,
19,918191,4836524,
20,975420,5153266,
21,1032639,5469977,
22,1089906,5786741,
23,1147120,6103481,
24,1204348,6420223,
25,1261581,6736973,
26,1318829,7053730,
27,1376072,7370477,
28,1433299,7687225,
29,1490530,8003979,
30,1547766,8320726,
31,1604997,8637473,
32,1662223,8954211,
33,1719458,9270955,
34,1776691,9587707,
35,1833946,9904463,
36,1891163,10221200,
37,1948413,10537959,
38,2005643,10854700,
39,2062876,11171458,
40,2120115,11488202,
41,2177346,11804959,
42,2234584,12121712,
43,2291828,12438468,
44,2349059,12755223,
45,2406294,13071977,
46,2463535,13388734,
47,2520759,13705484,
48,2578003,14022244,
49,2635234,14338990,
50,2692486,14655760,
