frame,vars,clauses,literals
1,33801,33998,
2,38541,41759,
3,45487,62098,
4,63398,139314,
5,104001,339323,
6,153872,604213,
7,208219,899385,
8,264505,1206561,
9,321003,1517408,
10,378082,1831963,
11,435556,2149197,
12,493354,2468578,
13,551205,2788349,
14,609019,3108070,
15,666813,3427660,
16,724623,3747344,
17,782483,4067121,
18,840320,4386895,
19,898166,4706674,
20,956008,5026432,
21,1013855,5346215,
22,1071716,5666028,
23,1129551,5985771,
24,1187401,6305562,
25,1245241,6625337,
26,1303094,6945140,
27,1360942,7264918,
28,1418789,7584703,
29,1476638,7904491,
30,1534487,8224271,
31,1592328,8544038,
32,1650175,8863814,
33,1708021,9183588,
34,1765880,9503401,
35,1823721,9823161,
36,1881573,10142949,
37,1939420,10462726,
38,1997263,10782504,
39,2055111,11102280,
40,2112963,11422075,
41,2170812,11741863,
42,2228660,12061650,
43,2286503,12381426,
44,2344347,12701207,
45,2402206,13021011,
46,2460056,13340801,
47,2517903,13660588,
48,2575748,13980369,
49,2633599,14300163,
50,2691447,14619947,
