frame,vars,clauses,literals
1,716,718,
2,2592,9949,
3,4403,18828,
4,6313,28430,
5,8169,37660,
6,10025,46890,
7,11881,56120,
8,13737,65350,
9,15593,74580,
10,17449,83810,
11,19305,93040,
12,21161,102270,
13,23017,111500,
14,24873,120730,
15,26729,129960,
16,28585,139190,
17,30441,148420,
18,32297,157650,
19,34153,166880,
20,36009,176110,
21,37865,185340,
22,39721,194570,
23,41577,203800,
24,43433,213030,
25,45289,222260,
26,47145,231490,
27,49001,240720,
28,50857,249950,
29,52713,259180,
30,54569,268410,
31,56425,277640,
32,58281,286870,
33,60137,296100,
34,61993,305330,
35,63849,314560,
36,65705,323790,
37,67561,333020,
38,69417,342250,
39,71273,351480,
40,73129,360710,
41,74985,369940,
42,76841,379170,
43,78697,388400,
44,80553,397630,
45,82409,406860,
46,84265,416090,
47,86121,425320,
48,87977,434550,
49,89833,443780,
50,91689,453010,
