frame,vars,clauses,literals
1,108,110,
2,292,692,
3,475,1297,
4,659,1909,
5,843,2521,
6,1027,3133,
7,1211,3745,
8,1395,4357,
9,1579,4969,
10,1763,5581,
11,1947,6193,
12,2131,6805,
13,2315,7417,
14,2499,8029,
15,2683,8641,
16,2867,9253,
17,3051,9865,
18,3235,10477,
19,3419,11089,
20,3603,11701,
21,3787,12313,
22,3971,12925,
23,4155,13537,
24,4339,14149,
25,4523,14761,
26,4707,15373,
27,4891,15985,
28,5075,16597,
29,5259,17209,
30,5443,17821,
31,5627,18433,
32,5811,19045,
33,5995,19657,
34,6179,20269,
35,6363,20881,
36,6547,21493,
37,6731,22105,
38,6915,22717,
39,7099,23329,
40,7283,23941,
41,7467,24553,
42,7651,25165,
43,7835,25777,
44,8019,26389,
45,8203,27001,
46,8387,27613,
47,8571,28225,
48,8755,28837,
49,8939,29449,
50,9123,30061,
