frame,vars,clauses,literals
1,265,294,
2,332,500,
3,430,823,
4,656,1976,
5,906,3392,
6,1186,4912,
7,1488,6466,
8,1793,8052,
9,2097,9628,
10,2402,11209,
11,2705,12783,
12,3011,14366,
13,3324,15942,
14,3629,17494,
15,3933,19073,
16,4237,20652,
17,4542,22228,
18,4845,23804,
19,5149,25383,
20,5453,26962,
21,5757,28541,
22,6061,30120,
23,6365,31699,
24,6669,33278,
25,6973,34857,
26,7277,36436,
27,7581,38015,
28,7884,39592,
29,8188,41171,
30,8492,42750,
31,8796,44329,
32,9100,45908,
33,9404,47487,
34,9708,49066,
35,10012,50645,
36,10316,52224,
37,10620,53803,
38,10924,55382,
39,11228,56961,
40,11532,58540,
41,11836,60119,
42,12140,61698,
43,12444,63277,
44,12748,64856,
45,13052,66435,
46,13356,68014,
47,13660,69593,
48,13964,71172,
49,14268,72751,
50,14572,74330,
