frame,vars,clauses,literals
1,93,161,
2,219,794,
3,359,1473,
4,479,2141,
5,604,2815,
6,731,3491,
7,857,4170,
8,984,4844,
9,1111,5518,
10,1238,6192,
11,1365,6866,
12,1492,7540,
13,1619,8214,
14,1746,8888,
15,1873,9562,
16,2000,10236,
17,2127,10910,
18,2254,11584,
19,2381,12258,
20,2508,12932,
21,2635,13606,
22,2762,14280,
23,2889,14954,
24,3016,15628,
25,3143,16302,
26,3270,16976,
27,3397,17650,
28,3524,18324,
29,3651,18998,
30,3778,19672,
31,3905,20346,
32,4032,21020,
33,4159,21694,
34,4286,22368,
35,4413,23042,
36,4540,23716,
37,4667,24390,
38,4794,25064,
39,4921,25738,
40,5048,26412,
41,5175,27086,
42,5302,27760,
43,5429,28434,
44,5556,29108,
45,5683,29782,
46,5810,30456,
47,5937,31130,
48,6064,31804,
49,6191,32478,
50,6318,33152,
