frame,vars,clauses,literals
1,95,104,
2,247,749,
3,530,2126,
4,809,3507,
5,1102,4902,
6,1383,6288,
7,1666,7680,
8,1948,9070,
9,2228,10456,
10,2511,11848,
11,2793,13238,
12,3073,14624,
13,3355,16014,
14,3636,17402,
15,3917,18790,
16,4198,20178,
17,4479,21566,
18,4760,22954,
19,5041,24342,
20,5322,25730,
21,5603,27118,
22,5884,28506,
23,6165,29894,
24,6446,31282,
25,6727,32670,
26,7008,34058,
27,7289,35446,
28,7570,36834,
29,7851,38222,
30,8132,39610,
31,8413,40998,
32,8694,42386,
33,8975,43774,
34,9256,45162,
35,9537,46550,
36,9818,47938,
37,10099,49326,
38,10380,50714,
39,10661,52102,
40,10942,53490,
41,11223,54878,
42,11504,56266,
43,11785,57654,
44,12066,59042,
45,12347,60430,
46,12628,61818,
47,12909,63206,
48,13190,64594,
49,13471,65982,
50,13752,67370,
