frame,vars,clauses,literals
1,3948,3950,
2,10871,23606,
3,17780,43361,
4,24689,63117,
5,31597,82872,
6,38505,102627,
7,45413,122382,
8,52321,142137,
9,59229,161892,
10,66137,181647,
11,73045,201402,
12,79953,221157,
13,86861,240912,
14,93769,260667,
15,100677,280422,
16,107585,300177,
17,114493,319932,
18,121401,339687,
19,128309,359442,
20,135217,379197,
21,142125,398952,
22,149033,418707,
23,155941,438462,
24,162849,458217,
25,169757,477972,
26,176665,497727,
27,183573,517482,
28,190481,537237,
29,197389,556992,
30,204297,576747,
31,211205,596502,
32,218113,616257,
33,225021,636012,
34,231929,655767,
35,238837,675522,
36,245745,695277,
37,252653,715032,
38,259561,734787,
39,266469,754542,
40,273377,774297,
41,280285,794052,
42,287193,813807,
43,294101,833562,
44,301009,853317,
45,307917,873072,
46,314825,892827,
47,321733,912582,
48,328641,932337,
49,335549,952092,
50,342457,971847,
