frame,vars,clauses,literals
1,336,560,
2,561,1271,
3,826,2168,
4,1138,3341,
5,1455,4543,
6,1776,5765,
7,2099,7003,
8,2424,8256,
9,2748,9515,
10,3077,10798,
11,3403,12076,
12,3735,13379,
13,4067,14688,
14,4401,16007,
15,4739,17343,
16,5074,18680,
17,5416,20035,
18,5756,21389,
19,6097,22754,
20,6437,24111,
21,6781,25472,
22,7124,26833,
23,7466,28192,
24,7810,29553,
25,8154,30914,
26,8497,32275,
27,8841,33636,
28,9184,34997,
29,9526,36356,
30,9869,37717,
31,10212,39078,
32,10555,40439,
33,10898,41800,
34,11241,43161,
35,11584,44522,
36,11927,45883,
37,12270,47244,
38,12613,48605,
39,12956,49966,
40,13299,51327,
41,13642,52688,
42,13985,54049,
43,14328,55410,
44,14671,56771,
45,15014,58132,
46,15357,59493,
47,15700,60854,
48,16043,62215,
49,16386,63576,
50,16729,64937,
