frame,vars,clauses,literals
1,316,522,
2,478,1076,
3,706,1988,
4,983,3177,
5,1269,4365,15650.0
6,1563,5654,20221.0
7,1852,6935,24792.0
8,2150,8253,29487.0
9,2448,9582,34221.0
10,2751,10933,39022.0
11,3056,12290,43838.0
12,3360,13646,48649.0
13,3667,15002,53428.0
14,3972,16355,58212.0
15,4278,17711,63006.0
16,4584,19067,67800.0
17,4890,20423,72594.0
18,5196,21779,77388.0
19,5502,23135,82182.0
20,5808,24491,86976.0
21,6114,25847,91770.0
22,6420,27203,96564.0
23,6726,28559,101358.0
24,7032,29915,106152.0
25,7338,31271,110946.0
26,7644,32627,115740.0
27,7950,33983,120534.0
28,8256,35339,125328.0
29,8562,36695,130122.0
30,8868,38051,134916.0
31,9174,39407,139710.0
32,9480,40763,144504.0
33,9786,42119,149298.0
34,10092,43475,154092.0
35,10398,44831,158886.0
36,10704,46187,163680.0
37,11010,47543,168474.0
38,11316,48899,173268.0
39,11622,50255,178062.0
40,11928,51611,182856.0
41,12234,52967,187650.0
42,12540,54323,192444.0
43,12846,55679,197238.0
44,13152,57035,202032.0
45,13458,58391,206826.0
46,13764,59747,211620.0
47,14070,61103,216414.0
48,14376,62459,221208.0
49,14682,63815,226002.0
50,14988,65171,230796.0
