frame,vars,clauses,literals
1,5410,8,16
2,7725,34,125
3,10050,123,446
4,12378,229,819
5,14705,333,1196
6,17031,435,1573
7,19358,539,1948
8,21685,643,2323
9,24012,747,2698
10,26339,851,3073
11,28666,955,3448
12,30993,1059,3823
13,33320,1163,4198
14,35647,1267,4573
15,37974,1371,4948
16,40301,1475,5323
17,42628,1579,5698
18,44955,1683,6073
19,47282,1787,6448
20,49609,1891,6823
21,51936,1995,7198
22,54263,2099,7573
23,56590,2203,7948
24,58917,2307,8323
25,61244,2411,8698
26,63571,2515,9073
27,65898,2619,9448
28,68225,2723,9823
29,70552,2827,10198
30,72879,2931,10573
31,75206,3035,10948
32,77533,3139,11323
33,79860,3243,11698
34,82187,3347,12073
35,84514,3451,12448
36,86841,3555,12823
37,89168,3659,13198
38,91495,3763,13573
39,93822,3867,13948
40,96149,3971,14323
41,98476,4075,14698
42,100803,4179,15073
43,103130,4283,15448
44,105457,4387,15823
45,107784,4491,16198
46,110111,4595,16573
47,112438,4699,16948
48,114765,4803,17323
49,117092,4907,17698
50,119419,5011,18073
